Date,User,ABSA_Tweets
2022-12-30 19:34:48+00:00,MmaneRai,"@AbsaSouthAfrica Thank you, what I am asking is to give the grand parents service, if they struggle with activating their bank cards or using ATM help them, but if u are so short staffed our grand parents end up getting sent back home because no one is there to help them 💔"
2022-12-30 19:12:57+00:00,SpheJ,@EugeneMt Exactly what @StandardBankZA has been doing to me! @AbsaSouthAfrica I will be moving over to you soon
2022-12-30 18:12:44+00:00,MasilelaSikwala,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica This one is a Scam I think 💔💔
2022-12-30 17:46:46+00:00,NasikaB,Absolutely impressed with @AbsaSouthAfrica home insurance.  Well done especially during this hectic part of the year. Amazing to know we are with the right bank!  #ClientForLife #iCanWithAbsa
2022-12-30 17:17:39+00:00,Sifundo44771017,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Difficult to even win the competition 👀
2022-12-30 16:48:04+00:00,chinolsm,@SlayingGoliath @AbsaSouthAfrica Tell Them Mdeva!!
2022-12-30 15:41:15+00:00,AbsaSouthAfrica,@vuyani_mluleki 👍
2022-12-30 15:10:18+00:00,SJschmidt963,@AbsaSouthAfrica Just drew money from your ATM. OK shop refuses to accept R100 notes; says it is “old” and not accepted by banks!??
2022-12-30 15:06:12+00:00,BeeEmmPee,@MentoorV @sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica They say you must just play and wait for your blessed mpment to arrive!
2022-12-30 15:01:26+00:00,mamaky_makena,"@AbsaSouthAfrica @Absa when are you going to rectify the mistake of Feb and March on my credit score, it's making my life a living hell."
2022-12-30 14:56:54+00:00,MakatiniNyeleti,@AbsaSouthAfrica The rewards voucher
2022-12-30 14:37:10+00:00,Xhanga_Biggz,@AbsaSouthAfrica You’re unresponsive
2022-12-30 14:29:11+00:00,GontsePooe,"@Zilungile @AbsaSouthAfrica Me too, since this morning. I updated the app, cleared cache and it's still not working @Absa please assist."
2022-12-30 13:31:58+00:00,Tshegokey,@AbsaSouthAfrica ask  @FNBSA how they run business maybe you could learn a thing or two cause y’all are just unprofessional it’s not funny anymore. We’ve never struggled this much with an estate late account using @FNBSA
2022-12-30 13:31:29+00:00,AbsaSouthAfrica,@MmaneRai Thank you for getting back to us; we've escalated this for our branch team's awareness and action.
2022-12-30 13:22:23+00:00,thula1,"@Rb__sa @Nedbank @StandardBankZA @Discovery_SA  @AbsaSouthAfrica tell me you’re better than this. Any other bank I’ve left out? I’m looking into moving my personal and business accounts into a better functioning bank, with some decorum when it comes to their customers."
2022-12-30 13:11:18+00:00,DODO_MASONDO,@AbsaSouthAfrica @KAGlSO this you sir?
2022-12-30 13:10:54+00:00,SduCash95,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Nice promo 😂
2022-12-30 12:55:29+00:00,vuyani_mluleki,@AbsaSouthAfrica It worked 😃.
2022-12-30 12:45:56+00:00,AbsaSouthAfrica,@djgfan Hi there. Thank you for sharing your concerns with us; we're sorry to see that your experience was less than perfect. We've escalated this for our branch team's awareness and action.
2022-12-30 12:44:14+00:00,AbsaSouthAfrica,@ShutaTommy Please let us know if the previous actions improve your user experience.
2022-12-30 12:43:43+00:00,AbsaSouthAfrica,"@ShutaTommy clear the app’s cache (go to your phone’s settings, select Apps, select Absa Banking, select Storage, and select Clear cache). 2/2"
2022-12-30 12:43:11+00:00,AbsaSouthAfrica,@ShutaTommy Hi there. Thank you for reaching out to us here. We apologise for the unpleasant experience with our Banking App. Please try the following to fix your Banking App: 1/2
2022-12-30 12:43:09+00:00,djgfan,@Absa @AbsaSouthAfrica @Absa @hellopetercom Nonexistant service from #Absa Clearwater again!#crapservice #shockingservice #CustomerService https://t.co/yw2If44Q8M
2022-12-30 12:32:45+00:00,IzwitheWord,"@AbsaSouthAfrica still awaiting for someone at Absa to contact me regarding my complaint, I’m not going to be sliding my next follow up on DM. you guys are disgusting at service delivery and all the managers are too important to talk to their clients."
2022-12-30 12:27:04+00:00,Ndamase_Mphumzi,@Madam_PB @AbsaSouthAfrica
2022-12-30 12:20:07+00:00,debutante_PJ,@AbsaSouthAfrica No I havent. She sent me back (the girl with the afro @AbsaSouthAfrica mokopane) let it be known that she is really rude. I can confess that I'm not the only one that didnt get good service yesterday. Some nurse also stood up and said shouting that she doesnt wan help
2022-12-30 12:19:15+00:00,MmaneRai,"@AbsaSouthAfrica Turfloop zone1,Hai absa u can do better.
Hve 2 tellers specifically for elders, It's unacceptable what is happening to see old pple sitting on the sme queue as youth n bcause u r short staffed the 1 teller can't take the granny to ATM to solve something minor they struggle with"
2022-12-30 12:17:49+00:00,AbsaSouthAfrica,"@vuyani_mluleki After completing these steps, please try to access your Banking App again and let us know if this resolved the issue. 3/3"
2022-12-30 12:17:41+00:00,AbsaSouthAfrica,"@vuyani_mluleki 4. Under ""Notifications, it should say ""Allowed"". If it doesn't, tap on Notifications. 5. Allow notifications by clicking on the toggle for ""Show notifications"". 2/3"
2022-12-30 12:17:27+00:00,AbsaSouthAfrica,@vuyani_mluleki Please check if the app is enabled for push notifications: 1. Go to your device settings. 2. Tap on Apps. 3. Tap on Absa Banking. 1/3
2022-12-30 12:09:22+00:00,AbsaSouthAfrica,@Zilungile Awesome 👍
2022-12-30 11:59:54+00:00,PhetoPatrick,@AbsaSouthAfrica I got into the bank all of a sudden all the security questions they ask me dont match me anymore and had to go through a lengthy process which watsed my time
2022-12-30 11:57:17+00:00,PhetoPatrick,@AbsaSouthAfrica I request there be steps taken cos these way of handling things imagine if it was after hours and i had to wait for the next day while i never rwported any fraudulent activity on my account but cos sum1 just feels like doing it cos he has powers to
2022-12-30 11:55:51+00:00,PhetoPatrick,@AbsaSouthAfrica I refused answering questions related to my account and ur agent locked my account and i couldnt acces the app again and had to go back to the bank which inconvinienced me cos it means willy nilly any1 can just block my account when  he feels like doing dat.
