Date,User,FNB_Tweets
2023-01-01 11:19:31+00:00,Thabz_ngwana,@FNBSA why have I been double debited for my Homeloans? This is unethical and you are putting me in a horrible financial strain and your call center is closed today and tomorrow cos of public holiday.
2023-01-01 11:04:16+00:00,baggyrid,@FNBSA is this legit or is it a scam???? https://t.co/dfRGyXntZV
2023-01-01 10:57:28+00:00,Maria110964091,@FNBSA #LoveFNB
2023-01-01 10:41:15+00:00,RammutlaKgomo,@FNBSA I am so disappointed with your company I can't even transfer money to another bank why what's going on🤔
2023-01-01 10:31:07+00:00,Thatohanong45,@FNBSA please explain what happened to my R500 after I made a R200 transaction? https://t.co/8Bd93IOOgL
2023-01-01 10:14:31+00:00,BagwellReloaded,"@FNBSA bro, you pulled my home loan debit order twice😳 this is not a good time to make such mistakes…Please cheif."
2023-01-01 10:02:08+00:00,Yasmin09956945,@FNBSA #LoveFNB
2023-01-01 09:57:22+00:00,MasemenePhetogo,#HappyNewYear #Welcome2023 #Scammer #Limpopo #SongOfTheYear #Makhadzi #scammers halo @FNBSA you are saying l must update what for 2023?
2023-01-01 09:50:06+00:00,Don__la_flame,Going forward I will never put my money with the thieves @FNBSA and I suggest none of you give them the power to fuck you over. Constantly these major corporations fuck us over and nothing can be done about it. Don’t bank with FNB and if you do expect to lose money periodically.
2023-01-01 09:46:33+00:00,Don__la_flame,@FNBSA When will you guys stop stealing from us??? R350 went missing from my account randomly and they tell me it’s delayed banking. The transaction went off on the day I ordered from Checkers how is it going off again 6 days later??? Something needs to be done about these banks!
2023-01-01 09:46:19+00:00,LetswaiNameng,@FNBSA My fixed expense calculation on the fnb app is not correct. I have logged multiple calls with no help so far.
2023-01-01 09:42:06+00:00,MoshidiSalome,@FNBSA #LoveFNB
2023-01-01 09:30:20+00:00,AndreaSandra27,@FNBSA #LoveFNB
2023-01-01 09:15:03+00:00,MphuthiSiphiwe,"@FNBSA 

I'm trying to report a case.

I waited for five minutes... Should I have waited a bit longer?

It's a FRAUD case. https://t.co/qNt96ayaug"
2023-01-01 08:58:24+00:00,sherezaanP,@FNBSA #LoveFNB
2023-01-01 08:37:23+00:00,Nelisiwekhoza8,"@FNBSA My rent
#FNBCashFreeSummer #LoveFNB"
2023-01-01 08:34:51+00:00,lorainneP,@FNBSA #LoveFNB
2023-01-01 08:33:29+00:00,The_Voom,"@FNBSA Clothing store accounts
#FNBCashFreeSummer #LoveFNB h"
2023-01-01 08:30:15+00:00,JonesLavern,@FNBSA I pay all my bills via the FNB app including my helper and hairdresser. Easy...💯
2023-01-01 08:27:14+00:00,Orifha_Seisani,@FNBSA #LoveFNB
2023-01-01 08:21:45+00:00,Sweedish96,"@FNBSA My Life cover 
#FNBCashFreeSummer #LoveFNB"
2023-01-01 08:14:39+00:00,e_james9,I guess yall are really useless @FNBSA. Well done 👏🏽🙌🏽
2023-01-01 08:13:36+00:00,ThandazaGal,"@FNBSA My Dstv account
#FNBCashFreeSummer #LoveFNB"
2023-01-01 08:10:16+00:00,TydoThat,@FNBSA Can you please check DM.
2023-01-01 08:07:23+00:00,BeepBee30,"@FNBSA My clients will pay using their cards , its much safer than caring cash around. #FNBCashFreeSummer #LoveFNB"
2023-01-01 08:06:14+00:00,Ngqengelele,"@FNBSA clearly the person I have just asked help from regarding my cancelled card is babalaz… she had no interest to assist me whatsoever.  I’ve just become an unhappy customer, who fortunately has options!"
2023-01-01 08:03:59+00:00,BeepBee30,"@FNBSA My Wifi Vuma
#FNBCashFreeSummer #LoveFNB https://t.co/k3JXWyTLgu"
2023-01-01 07:43:23+00:00,noluvoqueenana,@FNBSA #LoveFNB
2023-01-01 07:39:44+00:00,Khomby_Khuze,@FNBSA #LoveFNB
2023-01-01 07:38:05+00:00,Malibongwe_Z,@FNBSA #LoveFNB
2023-01-01 07:28:09+00:00,DeenaPadayache2,@FNBSA #LoveFNB
2023-01-01 07:18:23+00:00,rebeleeque,@EugeneMt I also experienced the same issue with @FNBSA I'm very happy with @Investec
2023-01-01 07:00:44+00:00,TerrenceScholt2,@FNBSA #LoveFNB
2023-01-01 06:35:31+00:00,herman_fabris,"@FNBSA I made a geo payment to my Fiancé’s saving account but she didn’t get the funds and now it’s past 24hrs. On my side, the transaction shows that it was successful and the money was deducted from my account. @FNBSA please kindly explain what’s the cause of this?"
2023-01-01 06:00:55+00:00,Glynis89549097,@FNBSA Happy new year @FNBSA #LoveFNB
2023-01-01 05:50:08+00:00,MATEGILDO,@magosibassy @FNBSA Hope you did stick with them ...just use normal check acc I think it’s R108 a month
2023-01-01 05:45:25+00:00,CeleStembile,@FNBSA #LoveFNB
2023-01-01 05:24:28+00:00,Flyonthewall86,@FNBSA @Rb__sa @FNBSA how is it that I don’t qualify for the aspire credit card when I earn more than the minimum R85 000 per annum ??
2023-01-01 05:19:04+00:00,Flyonthewall86,"@FNBSA @Rb__sa @FNBSA  how is it that as someone that earns R9200 after taxes , has no dependants and still stays with their parents at home and spends less than R1000 on transport I am unable to get a loan with you ?"
2023-01-01 05:17:57+00:00,Flyonthewall86,"@FNBSA @Rb__sa When I try to apply for a loan it reflects the wrong salary , when I change it to the correct one .it takes me to recalculate affordability . @FNBSA ."
2023-01-01 05:17:49+00:00,jamokgala,@FNBSA #LoveFNB
2023-01-01 05:16:43+00:00,Flyonthewall86,@FNBSA @Rb__sa So frustrated with your service and the app @FNBSA .
2023-01-01 05:00:32+00:00,FNBSA,"FNB branches are closed on 1 and 2 January, but you can still bank digitally using the FNB App,📱 Online Banking 💻 &amp; Cellphone Banking, 24/7 at your convenience.

#LoveFNB https://t.co/mp5sDWT0Sf"
2023-01-01 04:43:59+00:00,Stephan7073,@FNBSA #LoveFNB
2023-01-01 04:07:54+00:00,Nhlanhl34855548,@FNBSA Man I hate this bank 😡💔
2023-01-01 03:59:32+00:00,_tsholkyie,Debts di setse le 2022....we on a clean slate....I don't owe anyone anything..including you @FNBSA
2023-01-01 03:50:05+00:00,valerieSawy,@FNBSA I am paying my Medical Aid and Electricity bill. Its easy and convenient paying through the App. No stress #FNBCashFreeSummer @FNBSA #LoveFNB https://t.co/SyBfFuxSBf
2023-01-01 01:00:11+00:00,RaisonChauke,"@FNBSA Electricity
#FNBCashFreeSummer"
2022-12-31 23:08:23+00:00,roger_JMD,@TsvangiraiMuga2 @KENNYROLOR @LibertyGroupSA @FNBSA You from across the river yeah ?
2022-12-31 22:35:09+00:00,kglenyora,"@FNBSA Electricity
#FNBCashFreeSummer"
2022-12-31 21:43:32+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:43:12+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:42:49+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:42:34+00:00,lisa_moolman,"@FNBSA #FNBCashFreeSummer 
#LoveFNB"
2022-12-31 21:41:55+00:00,lisa_moolman,"@FNBSA #HelpYourself
#LoveFNB"
2022-12-31 21:41:30+00:00,lisa_moolman,"@FNBSA #TheChangeables
#LoveFNB"
2022-12-31 21:41:03+00:00,lisa_moolman,@gagasifm @FNBSA #LoveFNB
2022-12-31 21:40:38+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:40:17+00:00,lisa_moolman,"@FNBSA #FNBCashFreeSummer 
#LoveFNB"
2022-12-31 21:39:59+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:39:40+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:39:10+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:38:53+00:00,lisa_moolman,"@FNBSA #FNBCashFreeSummer 
#LoveFNB"
2022-12-31 21:37:49+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 21:37:25+00:00,lisa_moolman,@FNBSA #LoveFNB
2022-12-31 19:27:38+00:00,clemie18,"@EugeneMt @FNBSA is a trash bank, they’ve always treated me like rubbish. @StandardBankZA approved my car and home loan. They even approved for my house to be rezoned. Really happy with them ❤️ and I have never missed a payment. I always recommend them to graduates"
2022-12-31 19:21:32+00:00,judypadayachee,@FNBSA #LoveFNB
2022-12-31 19:14:21+00:00,KostaT17,@FNBSA Xrp comming to South Africa 😂😂
2022-12-31 19:01:14+00:00,PalySibidla,@asandandabezith @LungaMrhetjha @FNBSA Even me and my problem is I love @FNBSA it's hard for me to switch
2022-12-31 18:55:57+00:00,tdugzzz,@FNBSA please inform everyone about this …. ITS FAKE https://t.co/enilcnaGNa
2022-12-31 18:32:32+00:00,Mickeysa6,"@ecr9495 @FNBSA My way to pay is the eWallet method.

 #FNBCashFreeSummer  + @ecr9495 + @FNBSA https://t.co/pet16GI8aC"
2022-12-31 18:30:15+00:00,Mickeysa6,"@947 @FNBSA My favourite payment method is

💸eWallet 

@947 + #FNBCashFreeSummer https://t.co/4mUL97hpJC"
2022-12-31 18:16:34+00:00,Zihlee,"@ecr9495 @FNBSA Ewallet is my favourite .
 @FNBSA  #FNBCashFreeSummer"
2022-12-31 18:12:57+00:00,Zihlee,"@FNBSA Its safer preventing not carrying cash.
#FNBCashFreeSummer"
2022-12-31 18:12:02+00:00,Zihlee,"@FNBSA #FNBCashFreeSummer 
#LoveFNB    
@FNBSA
 
Paying DStv"
2022-12-31 18:03:02+00:00,Zihlee,"@947 @FNBSA Ewallet.

#FNBCashFreeSummer 
@947"
2022-12-31 17:37:35+00:00,KalalaPhumi,@PhilMphela @FNBSA A big frustration that thing. FNB must do something
2022-12-31 15:58:31+00:00,OumaMotaung1,"@FNBSA Do you know about this kind of sms's 🤔👉  FNB:-) Your FNB Bank Account is not updated on the server for FICA (KYC), Click -&gt;
https://t.co/zeV7YxJa1Z &amp; Update your Account to avoid Blocked server by 11:59"
2022-12-31 15:36:18+00:00,Cazlin8,"@EugeneMt @Nedbank and @Discovery_SA is the best,I managed to convince half of my family to change from @FNBSA xclick..."
2022-12-31 15:05:10+00:00,asandandabezith,@PalySibidla @LungaMrhetjha @FNBSA The greed that FNB has is disgusting. I hate that I don't know which I should switch to.
2022-12-31 13:47:05+00:00,Mutaaz_Aspeling,"@JayDils Change banks, I cut FNB out my personal and business completely @FNBSA"
2022-12-31 13:37:34+00:00,ThokzaZuma,@FNBSA @Rb__sa is this legit though? The link takes me to username and password🤭😏 https://t.co/pI79zd3sQd
2022-12-31 13:34:40+00:00,Madimetja_ms,"@sa_lottery @FNBSA I want to try my luck before end of this year 2022 , who knows I can be millionaire next year"
2022-12-31 13:08:24+00:00,Zola34600529,@FNBSA The tiller told me as I have fnb bond so when I join fnb 0% Bank  fees for 2 yrs💃💃💃
2022-12-31 13:06:44+00:00,Zola34600529,@FNBSA Can't wait to join fbn on Feb running away from capitec
2022-12-31 13:03:26+00:00,Mote_Oracle,"@ssskatli @FNBSA I'm having the exact same issue, for the past 3 days. How did u resolve this???"
2022-12-31 12:55:02+00:00,MadhuraNina,@FNBSA #thechangeables    it's getting a Sunscreen all day at Camps Bay Beach🥰 https://t.co/49ri9EuddE
2022-12-31 12:26:48+00:00,fiebiePup,"@FNBSA – As I have successfully completed the FICA process a couple of months ago, please be aware that this number seems to want to defraud people https://t.co/KtZjUxFzm9"
2022-12-31 12:24:10+00:00,raw_hun,@Jamani_Khanyi @Absa @Nedbank @FNBSA @StandardBankArt please say Amen.
2022-12-31 12:12:58+00:00,mwelisoni,Why did you lock me out of my digital banking @FNBSA???
2022-12-31 11:52:43+00:00,tbossigudu,"@FNBSA #FNBCashFreeSummer 
#LoveFNB @FNBSA
Ewallet"
2022-12-31 11:52:21+00:00,tbossigudu,"@FNBSA #FNBCashFreeSummer 
#LoveFNB @FNBSA
Paying Electricity"
2022-12-31 11:43:25+00:00,Nabielk20,@FNBSA Thank you! I DM'd a while ago 🥲
2022-12-31 11:43:11+00:00,tbossigudu,"@947 @FNBSA Ewallet.
#FNBCashFreeSummer @947"
2022-12-31 11:42:00+00:00,quartermutton,@TsvangiraiMuga2 @KENNYROLOR @LibertyGroupSA @FNBSA Oh ok
2022-12-31 11:35:35+00:00,KissMlungu,"@947 @FNBSA Ewallet.
#FNBCashFreeSummer 
@947"
2022-12-31 11:23:35+00:00,Manisha16377305,@FNBSA E wallet #FNBCashFreeSummer #LoveFNB
2022-12-31 11:22:51+00:00,Manisha16377305,"@FNBSA #LoveFNB #FNBCashFreeSummer
E wallet"
2022-12-31 11:19:30+00:00,SelbyNdlovu8,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Kancane kancane siyeeeezaaa😁
2022-12-31 11:14:07+00:00,lwanele_samuel,@sa_lottery @FNBSA 😭😭😭
2022-12-31 11:08:12+00:00,addington7,@CapeTownCityFC @FNBSA @FNBSA Woodstock https://t.co/LSxqH71kw5
2022-12-31 11:07:17+00:00,NicSolani,"@FNBSA Connect, can you please check the connectivity issue around Sebokeng (Zone 11)… 5 days now"
2022-12-31 11:05:01+00:00,TerrenceScholt2,@FNBSA #LoveFNB
2022-12-31 10:36:47+00:00,GaryTidoStark,"Let's bank my change from jan to December 2023 @FNBSA 

💯"
2022-12-31 10:24:16+00:00,Jennytikal,@FNBSA @FNBSA kindly acknowledge my DM family
2022-12-31 10:24:07+00:00,cwenga09,@FNBSA hello. I've been holding for almost an hour on yo fraud line for a payment that's gone through my virtual card without me authorizing it. The payment is still showing as pending but am afraid it will be finalised without me getting through to a consultant
