Date,User,Standard_Tweets
2023-01-01 19:45:14+00:00,dave123william1,"@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Livin the dream man, go Max … to the max✊🏻 and have an amazing trip"
2023-01-01 19:43:29+00:00,MWalkerWilliams,@HFdkrr @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Next few days. 👍🏻
2023-01-01 19:43:19+00:00,MWalkerWilliams,@dave123william1 @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow 👍🏻
2023-01-01 19:40:49+00:00,HFdkrr,"@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Hi Max, when is the interview with Jordan out?"
2023-01-01 19:40:48+00:00,dave123william1,@MWalkerWilliams @Davos @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow Live updates from the side of the road bud … safety 1st and all that
2023-01-01 19:38:24+00:00,MWalkerWilliams,"The people have decided! ✅
I’m driving to @Davos and will be updating you guys live all the way. 🎥

The dream team is there: @zenobiaZAG @chasker @brettmcdowell @betsabemk @nilminirubin and @hedera @HBAR_foundation @swirldslabs @ucl @AveryDennison @StandardBankZA @ServiceNow 🙌🏻"
2023-01-01 18:53:06+00:00,StandardBankZA,@HowardB70 You're most welcome! We're here to help. 💙
2023-01-01 18:52:16+00:00,StandardBankZA,@HowardB70 Awesome! We'll be waiting to hear from you💙
2023-01-01 18:46:02+00:00,HowardB70,"@StandardBankZA Restarted my device and all back to normal now, many thanks again ;)"
2023-01-01 18:45:45+00:00,Mtshbr_,🕯️🕯️🕯️for @FNBSA @StandardBankZA  to actually realise they are not doing me a favour by keeping my money.
2023-01-01 18:41:59+00:00,HowardB70,"@StandardBankZA Will try a restart and let you know, thanks for the quick reply! Internet banking via browser seems fine FYI."
2023-01-01 18:36:25+00:00,StandardBankZA,"@HowardB70 Hi Howard, no issues have been reported about this. Are you still experiencing this after restarting your device?"
2023-01-01 18:29:27+00:00,HowardB70,"@StandardBankZA is there a problem with your banking app tonight, all linked accounts on the profile are grayed out and showing a zero balance? Thanks."
2023-01-01 18:27:12+00:00,BenMaluleke300,@seropotsa @TotalsportsSA @fitbit @Vivomobile_SA @StandardBankZA Well done Alice 💚🥳💚🥳💚
2023-01-01 18:26:47+00:00,Pyzozo85,@seropotsa @TotalsportsSA @fitbit @Vivomobile_SA @StandardBankZA 😊😊
2023-01-01 18:01:43+00:00,Siphama68191790,"@StandardBankZA Up to R10 💸
#BecauseUCount 
#HowAboutNowSummer
@StandardBankZA"
2023-01-01 17:56:49+00:00,seropotsa,@Pyzozo85 @TotalsportsSA @fitbit @Vivomobile_SA @StandardBankZA Thanks P
2023-01-01 17:51:52+00:00,Siphama68191790,"@StandardBankZA Earn up to R10 back in reward points per litre of fuel and oil at caltex 
#BecauseUCount 
#HowAboutNowSummer"
2023-01-01 17:15:02+00:00,StandardBankZA,"@Mufasa0062 @Will09453182 We're ready to have you join us Mufasa. You can simply open your account with us online, please refer to the link below to view and apply for the account that best suits you and your needs: 

https://t.co/WlLqkgr15l"
2023-01-01 16:53:39+00:00,StandardBankZA,@cgselva Please send us a DM with your contact detais and ID number.
2023-01-01 16:45:26+00:00,NMatimbi,@StandardBankZA #BecauseUCount @StandardBankZA https://t.co/xcfkAihMu7
2023-01-01 16:44:56+00:00,s_siraji,@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Well done champ 🙌 👏 🔥
2023-01-01 16:34:37+00:00,StandardBankZA,"@cgselva Hi Selva, we have received your DM and will continue to assist you there."
2023-01-01 16:29:08+00:00,SipLaurence,"@StandardBankZA Up to R10 💸#BecauseUCount 
#HowAboutNowSummer
@StandardBankZA"
2023-01-01 16:17:56+00:00,PholosoM_,@MuloiwaThendo @StandardBankZA 😂😂😂😂😂
2023-01-01 16:16:23+00:00,MuloiwaThendo,@StandardBankZA @PholosoM_ we are up😭🙏🏿
2023-01-01 16:11:07+00:00,gcobisa_soci,@StandardBankZA OK Furniture &amp; House and Home
2023-01-01 16:09:01+00:00,StandardBankZA,"@MuloiwaThendo Hi Thendo, perhaps you can check if you qualify for a loan with us on the link below, select the blue tab ""Do I Qualify""

https://t.co/ur3GCEo2cB"
2023-01-01 16:01:59+00:00,SibongileSigudu,"@StandardBankZA Up to R10 
#BecauseUCount 
#HowAboutNowSummer @StandardBankZA"
2023-01-01 15:48:06+00:00,cgselva,@StandardBankZA Hi what retail you many need ?
2023-01-01 15:40:10+00:00,cgselva,@StandardBankZA Can you please update the status ?
2023-01-01 13:58:07+00:00,ka_madesi,@StandardBankZA I’m already charged and debited 🤷‍♂️
2023-01-01 13:13:04+00:00,malukubabe,@stephmalatjie @StandardBankZA Thanks Prof 💞
2023-01-01 12:39:34+00:00,StandardBankZA,@ka_madesi Hi Bandile. Happy New Year to you too. We ask that any dialogue should be handled in a respectful manner so that we can able to address your issues. Please kindly block your card on the app &amp; visit your nearest branch for assistance. You will not be charged a card replacement fee
2023-01-01 12:35:03+00:00,ka_madesi,@StandardBankZA so your useless ATM swallows my card and then you charge me a fee to give me a new card? What rubbish is that? 😡 #HappyNewYear2023
2023-01-01 12:28:02+00:00,rwillis2916,@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Nice run 👍
2023-01-01 12:13:11+00:00,gregorycgravett,@Pat11129853 @ClareCraigPath Open a @StandardBankZA account.
2023-01-01 11:00:16+00:00,Pyzozo85,@seropotsa @TotalsportsSA @fitbit @Vivomobile_SA @StandardBankZA Fantastic work Alice 👏👏
2023-01-01 10:43:46+00:00,StandardBankZA,@MandzWillem17 Hi Mandobe. We are sorry to hear about your experience with us. Is there something specific we can help with?
2023-01-01 10:37:34+00:00,StandardBankZA,"@PPNgozi This sounds concerning, @PPNgozi , and we would like to understand what prompts you to say this. Could you give us more context on this matter so we may assist you appropriately ?"
2023-01-01 10:35:18+00:00,PPNgozi,@StandardBankZA you are becoming completely useless everyday
2023-01-01 10:25:57+00:00,Deepontso,@Mufasa0062 @StandardBankZA potential client ke eo https://t.co/JraTqHPH05
2023-01-01 10:24:47+00:00,Bazo19503669,@StandardBankZA that's awesome
2023-01-01 09:36:51+00:00,Cry_Moloi,"@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole awesome work, champ Malose"
2023-01-01 09:21:01+00:00,Georgekhoza007,"@StandardBankZA #HowAboutNowSummer #ItCanBe
💙💙💙💙💙💙💙💙💙💙💙💙💙"
2023-01-01 08:53:50+00:00,YOLI93_,"@StandardBankZA I, I.. #HowAboutNowSummer #ItCanBe 💙 💙"
2023-01-01 08:43:04+00:00,Spannie10,"@StandardBankZA Up to R10 
#BecauseUCount 
#HowAboutNowSummer
@StandardBankZA"
